Date,EUR
2008-01-02,1717.16
2008-01-03,1714.59
2008-01-04,1719.21
2008-01-07,1720.03
2008-01-08,1720.47
2008-01-09,1722.24
2008-01-10,1721.42
2008-01-11,1718.20
2008-01-14,1729.73
2008-01-15,1740.21
2008-01-16,1740.82
2008-01-17,1734.30
2008-01-18,1714.87
2008-01-21,1714.11
2008-01-22,1698.36
2008-01-23,1693.59
2008-01-24,1706.53
2008-01-25,1712.21
2008-01-28,1726.95
2008-01-29,1720.30
2008-01-30,1729.71
2008-01-31,1731.06
2008-02-01,1739.30
2008-02-04,1744.91
2008-02-05,1739.02
2008-02-06,1734.78
2008-02-07,1715.75
2008-02-11,1711.56
2008-02-12,1706.52
2008-02-13,1702.56
2008-02-14,1703.46
2008-02-15,1712.24
2008-02-18,1715.65
2008-02-19,1718.24
2008-02-20,1726.47
2008-02-21,1723.86
2008-02-22,1726.18
2008-02-25,1734.63
2008-02-26,1736.05
2008-02-27,1733.54
2008-02-28,1761.50
2008-02-29,1768.39
2008-03-03,1788.50
2008-03-04,1779.38
2008-03-05,1779.26
2008-03-06,1778.45
2008-03-07,1794.63
2008-03-10,1804.23
2008-03-11,1803.25
2008-03-12,1800.32
2008-03-13,1802.20
2008-03-14,1826.78
2008-03-17,1828.08
2008-03-18,1848.41
2008-03-19,1843.74
2008-03-20,1838.83
2008-03-21,1818.59
2008-03-24,1807.10
2008-03-25,1798.63
2008-03-26,1815.77
2008-03-27,1823.70
2008-03-28,1839.96
2008-03-31,1841.68
2008-04-01,1845.43
2008-04-02,1830.70
2008-04-03,1823.55
2008-04-04,1825.16
2008-04-07,1833.86
2008-04-08,1829.71
2008-04-09,1841.27
2008-04-10,1833.93
2008-04-11,1849.47
2008-04-14,1846.45
2008-04-15,1842.35
2008-04-16,1850.86
2008-04-17,1848.17
2008-04-18,1862.53
2008-04-21,1859.84
2008-04-22,1851.29
2008-04-23,1852.76
2008-04-24,1862.70
2008-04-25,1836.88
2008-04-28,1813.80
2008-04-29,1820.29
2008-04-30,1811.95
2008-05-01,1814.06
2008-05-02,1809.85
2008-05-05,1801.46
2008-05-06,1801.16
2008-05-07,1801.29
2008-05-08,1804.06
2008-05-09,1784.48
2008-05-12,1800.73
2008-05-13,1794.71
2008-05-14,1806.97
2008-05-15,1794.25
2008-05-16,1806.51
2008-05-19,1803.08
2008-05-20,1812.74
2008-05-21,1812.14
2008-05-22,1827.63
2008-05-23,1833.31
2008-05-26,1826.40
2008-05-27,1830.96
2008-05-28,1829.96
2008-05-29,1825.55
2008-05-30,1810.69
2008-06-02,1797.36
2008-06-03,1803.16
2008-06-04,1808.03
2008-06-05,1791.88
2008-06-06,1790.11
2008-06-09,1808.78
2008-06-10,1835.02
2008-06-11,1804.59
2008-06-12,1794.57
2008-06-13,1789.48
2008-06-16,1784.23
2008-06-17,1784.03
2008-06-18,1797.17
2008-06-19,1797.17
2008-06-20,1799.36
2008-06-23,1802.47
2008-06-24,1797.94
2008-06-25,1801.76
2008-06-26,1801.76
2008-06-27,1812.27
2008-06-30,1823.23
2008-07-01,1832.26
2008-07-02,1824.92
2008-07-03,1830.54
2008-07-04,1836.80
2008-07-07,1818.16
2008-07-08,1811.87
2008-07-09,1819.76
2008-07-10,1815.27
2008-07-14,1819.47
2008-07-15,1837.51
2008-07-16,1849.49
2008-07-17,1841.99
2008-07-18,1835.04
2008-07-21,1832.60
2008-07-22,1836.16
2008-07-23,1841.25
2008-07-24,1822.75
2008-07-25,1810.68
2008-07-28,1815.13
2008-07-29,1816.65
2008-07-30,1820.33
2008-07-31,1803.10
2008-08-01,1804.21
2008-08-04,1797.60
2008-08-05,1799.44
2008-08-06,1789.32
2008-08-07,1789.44
2008-08-08,1784.64
2008-08-11,1750.89
2008-08-12,1735.24
2008-08-13,1718.61
2008-08-14,1721.07
2008-08-15,1719.82
2008-08-18,1698.57
2008-08-19,1699.72
2008-08-20,1690.13
2008-08-21,1699.58
2008-08-22,1704.14
2008-08-25,1711.63
2008-08-26,1697.49
2008-08-27,1685.59
2008-08-28,1695.29
2008-08-29,1699.38
2008-09-01,1696.77
2008-09-02,1686.25
2008-09-03,1668.01
2008-09-04,1657.18
2008-09-05,1640.57
2008-09-08,1640.57
2008-09-09,1642.77
2008-09-10,1621.65
2008-09-11,1626.86
2008-09-12,1600.58
2008-09-15,1621.01
2008-09-16,1640.46
2008-09-17,1634.87
2008-09-18,1631.83
2008-09-19,1645.62
2008-09-22,1629.48
2008-09-23,1672.50
2008-09-24,1688.89
2008-09-25,1683.40
2008-09-26,1687.08
2008-09-29,1672.24
2008-09-30,1643.95
2008-10-01,1646.47
2008-10-02,1618.11
2008-10-03,1592.68
2008-10-06,1588.13
2008-10-07,1557.66
2008-10-08,1553.34
2008-10-09,1560.54
2008-10-10,1572.97
2008-10-13,1556.12
2008-10-14,1560.76
2008-10-15,1563.91
2008-10-16,1557.37
2008-10-17,1540.79
2008-10-20,1542.75
2008-10-21,1543.28
2008-10-22,1516.08
2008-10-23,1470.89
2008-10-24,1466.97
2008-10-27,1446.72
2008-10-28,1423.43
2008-10-29,1429.96
2008-10-30,1454.11
2008-10-31,1511.77
2008-11-03,1454.82
2008-11-04,1468.90
2008-11-05,1451.50
2008-11-06,1469.03
2008-11-07,1473.50
2008-11-10,1466.91
2008-11-11,1473.59
2008-11-12,1477.53
2008-11-13,1459.27
2008-11-14,1439.38
2008-11-17,1471.50
2008-11-18,1465.74
2008-11-19,1464.50
2008-11-20,1462.67
2008-11-21,1450.11
2008-11-24,1453.55
2008-11-25,1466.45
2008-11-26,1502.68
2008-11-27,1502.68
2008-11-28,1510.36
2008-12-01,1525.86
2008-12-02,1502.10
2008-12-03,1508.80
2008-12-04,1518.66
2008-12-05,1532.72
2008-12-08,1562.17
2008-12-09,1587.46
2008-12-10,1577.58
2008-12-11,1592.23
2008-12-12,1609.36
2008-12-15,1637.27
2008-12-16,1645.02
2008-12-17,1686.74
2008-12-18,1708.49
2008-12-19,1788.42
2008-12-22,1734.96
2008-12-23,1746.97
2008-12-24,1737.13
2008-12-25,1739.88
2008-12-26,1752.31
2008-12-29,1755.94
2008-12-30,1801.98
2008-12-31,1786.75
2009-01-02,1793.77
2009-01-05,1778.74
2009-01-06,1789.78
2009-01-07,1743.10
2009-01-08,1777.43
2009-01-09,1764.25
2009-01-12,1785.16
2009-01-13,1748.25
2009-01-14,1749.83
2009-01-15,1773.02
2009-01-16,1790.61
2009-01-19,1787.02
2009-01-20,1821.90
2009-01-21,1777.06
2009-01-22,1769.34
2009-01-23,1778.33
2009-01-26,1758.84
2009-01-27,1778.56
2009-01-28,1777.20
2009-01-29,1824.77
2009-01-30,1807.63
2009-02-02,1779.91
2009-02-03,1791.51
2009-02-04,1797.26
2009-02-05,1847.11
2009-02-06,1829.88
2009-02-09,1824.89
2009-02-10,1845.99
2009-02-11,1844.98
2009-02-12,1854.20
2009-02-13,1854.78
2009-02-16,1862.09
2009-02-17,1861.47
2009-02-18,1841.71
2009-02-19,1848.64
2009-02-20,1854.19
2009-02-23,1851.73
2009-02-24,1906.41
2009-02-25,1875.57
2009-03-02,1887.43
2009-03-03,1929.18
2009-03-04,1955.00
2009-03-05,1947.13
2009-03-06,1964.30
2009-03-09,1982.80
2009-03-10,1984.93
2009-03-11,2000.19
2009-03-12,1993.44
2009-03-13,2018.56
2009-03-16,2033.11
2009-03-17,2042.81
2009-03-18,2058.79
2009-03-19,2069.66
2009-03-20,2138.06
2009-03-23,2162.54
2009-03-24,2161.65
2009-03-25,2144.86
2009-03-26,2117.58
2009-03-27,2111.61
2009-03-30,2087.72
2009-03-31,2009.71
2009-04-01,1990.34
2009-04-02,1961.36
2009-04-03,1954.16
2009-04-06,1938.62
2009-04-07,1911.55
2009-04-08,1887.70
2009-04-09,1864.92
2009-04-10,1888.99
2009-04-13,1861.31
2009-04-14,1872.85
2009-04-15,1889.47
2009-04-16,1880.60
2009-04-17,1874.56
2009-04-20,1863.97
2009-04-21,1848.58
2009-04-22,1842.11
2009-04-23,1839.76
2009-04-24,1846.80
2009-04-27,1878.97
2009-04-28,1875.82
2009-04-29,1854.22
2009-04-30,1877.22
2009-05-01,1902.25
2009-05-04,1890.92
2009-05-05,1894.41
2009-05-06,1898.43
2009-05-07,1892.29
2009-05-08,1885.19
2009-05-11,1906.45
2009-05-12,1935.19
2009-05-13,1941.14
2009-05-14,1947.48
2009-05-15,1934.81
2009-05-18,1934.45
2009-05-19,1915.69
2009-05-20,1934.90
2009-05-21,1939.24
2009-05-22,1960.02
2009-05-25,1985.14
2009-05-26,1996.41
2009-05-27,1993.18
2009-05-28,1996.26
2009-05-29,1982.51
2009-06-02,1999.34
2009-06-03,2016.87
2009-06-04,2033.29
2009-06-05,2029.84
2009-06-08,2024.20
2009-06-09,1980.28
2009-06-10,1988.70
2009-06-11,2016.19
2009-06-12,1997.63
2009-06-15,2008.73
2009-06-16,1979.76
2009-06-17,1977.89
2009-06-18,1982.50
2009-06-19,1991.91
2009-06-22,1989.95
2009-06-23,1984.40
2009-06-24,1985.50
2009-06-25,2018.87
2009-06-26,1999.83
2009-06-29,2012.96
2009-06-30,2012.13
2009-07-01,2025.50
2009-07-02,2022.92
2009-07-03,2025.31
2009-07-06,2012.13
2009-07-07,2005.96
2009-07-08,2007.64
2009-07-09,2003.36
2009-07-10,2013.04
2009-07-14,2005.77
2009-07-15,2018.10
2009-07-16,2027.31
2009-07-17,2035.73
2009-07-20,2036.63
2009-07-21,2057.81
2009-07-22,2059.89
2009-07-23,2058.86
2009-07-24,2067.49
2009-07-27,2065.79
2009-07-28,2071.80
2009-07-29,2077.23
2009-07-30,2060.50
2009-07-31,2044.48
2009-08-03,2052.03
2009-08-04,2069.02
2009-08-05,2093.52
2009-08-06,2091.01
2009-08-07,2088.54
2009-08-10,2081.26
2009-08-11,2058.21
2009-08-12,2052.83
2009-08-13,2045.02
2009-08-14,2062.69
2009-08-17,2066.54
2009-08-18,2045.45
2009-08-19,2044.13
2009-08-20,2040.38
2009-08-21,2056.29
2009-08-24,2064.70
2009-08-25,2059.94
2009-08-26,2054.50
2009-08-27,2058.79
2009-08-28,2041.73
2009-08-31,2048.11
2009-09-01,2032.37
2009-09-02,2039.98
2009-09-03,2017.14
2009-09-04,2024.60
2009-09-07,2019.07
2009-09-08,2028.35
2009-09-09,2038.40
2009-09-10,2047.50
2009-09-11,2059.89
2009-09-14,2065.46
2009-09-15,2059.05
2009-09-16,2068.52
2009-09-17,2083.72
2009-09-18,2091.31
2009-09-21,2081.10
2009-09-22,2081.17
2009-09-23,2099.51
2009-09-24,2104.21
2009-09-25,2099.29
2009-09-28,2090.63
2009-09-29,2080.93
2009-09-30,2078.84
2009-10-01,2086.29
2009-10-02,2090.21
2009-10-05,2089.99
2009-10-06,2107.58
2009-10-07,2128.72
2009-10-08,2136.78
2009-10-09,2147.54
2009-10-12,2138.26
2009-10-13,2127.81
2009-10-14,2133.13
2009-10-15,2139.58
2009-10-16,2142.01
2009-10-19,2140.93
2009-10-20,2149.91
2009-10-21,2155.24
2009-10-22,2154.51
2009-10-23,2154.15
2009-10-26,2157.44
2009-10-27,2153.11
2009-10-28,2126.75
2009-10-29,2115.96
2009-10-30,2099.18
2009-11-02,2109.99
2009-11-03,2100.37
2009-11-04,2102.36
2009-11-05,2099.73
2009-11-06,2111.42
2009-11-09,2118.29
2009-11-10,2131.69
2009-11-11,2131.57
2009-11-12,2137.73
2009-11-13,2134.95
2009-11-16,2125.17
2009-11-17,2147.89
2009-11-18,2146.93
2009-11-19,2137.50
2009-11-20,2137.52
2009-11-23,2145.94
2009-11-24,2156.61
2009-11-25,2154.66
2009-11-27,2168.61
2009-11-30,2150.09
2009-12-01,2184.73
2009-12-02,2183.25
2009-12-03,2196.17
2009-12-04,2200.32
2009-12-07,2198.92
2009-12-08,2166.96
2009-12-09,2162.02
2009-12-10,2149.39
2009-12-11,2147.56
2009-12-14,2148.07
2009-12-15,2132.09
2009-12-16,2112.85
2009-12-17,2096.57
2009-12-18,2072.20
2009-12-21,2065.01
2009-12-22,2050.09
2009-12-23,2049.12
2009-12-24,2040.65
2009-12-25,2057.27
2009-12-28,2064.59
2009-12-29,2066.08
2009-12-30,2078.93
2009-12-31,2071.34
2010-01-04,2086.36
2010-01-05,2076.21
2010-01-06,2099.69
2010-01-07,2092.09
2010-01-08,2103.17
2010-01-11,2105.17
2010-01-12,2130.52
2010-01-13,2122.59
2010-01-14,2117.98
2010-01-15,2118.98
2010-01-18,2096.53
2010-01-19,2087.32
2010-01-20,2086.00
2010-01-21,2052.63
2010-01-22,2038.23
2010-01-25,2048.81
2010-01-26,2050.30
2010-01-27,2046.23
2010-01-28,2043.67
2010-01-29,2043.51
2010-02-01,2031.94
2010-02-02,2020.45
2010-02-03,2027.51
2010-02-04,2032.34
2010-02-05,2016.62
2010-02-08,1989.36
2010-02-09,1982.47
2010-02-10,1988.86
2010-02-11,1990.80
2010-02-12,1987.00
2010-02-15,1960.90
2010-02-16,1960.90
2010-02-17,1960.90
2010-02-18,1980.50
2010-02-19,1949.25
2010-02-22,1937.97
2010-02-23,1959.68
2010-02-24,1972.39
2010-02-25,1955.78
2010-02-26,1952.15
2010-03-01,1966.10
2010-03-02,1972.31
2010-03-03,1957.03
2010-03-04,1961.71
2010-03-05,1952.76
2010-03-08,1940.78
2010-03-09,1940.78
2010-03-10,1942.06
2010-03-11,1929.75
2010-03-12,1937.16
2010-03-15,1944.97
2010-03-16,1950.54
2010-03-17,1938.56
2010-03-18,1954.64
2010-03-19,1932.27
2010-03-22,1922.66
2010-03-23,1900.18
2010-03-24,1878.56
2010-03-25,1847.79
2010-03-26,1829.14
2010-03-29,1829.66
2010-03-30,1845.31
2010-03-31,1847.43
2010-04-01,1834.71
2010-04-02,1842.60
2010-04-05,1849.96
2010-04-06,1840.66
2010-04-07,1832.11
2010-04-08,1829.60
2010-04-09,1826.39
2010-04-12,1854.27
2010-04-13,1884.81
2010-04-14,1883.34
2010-04-15,1896.88
2010-04-16,1905.09
2010-04-19,1908.85
2010-04-20,1895.84
2010-04-21,1895.51
2010-04-22,1882.41
2010-04-23,1872.29
2010-04-26,1840.66
2010-04-27,1843.48
2010-04-28,1836.93
2010-04-29,1810.41
2010-04-30,1812.75
2010-05-03,1831.05
2010-05-04,1831.20
2010-05-05,1830.71
2010-05-06,1805.10
2010-05-07,1785.06
2010-05-10,1766.41
2010-05-11,1808.40
2010-05-12,1764.95
2010-05-13,1753.45
2010-05-14,1749.80
2010-05-17,1732.76
2010-05-18,1704.25
2010-05-19,1722.68
2010-05-20,1696.17
2010-05-21,1726.68
2010-05-24,1736.23
2010-05-25,1733.20
2010-05-26,1695.68
2010-05-27,1704.34
2010-05-28,1698.00
2010-05-31,1710.29
2010-06-02,1703.30
2010-06-03,1690.58
2010-06-04,1701.79
2010-06-07,1687.51
2010-06-08,1649.93
2010-06-09,1655.46
2010-06-10,1656.08
2010-06-11,1664.51
2010-06-14,1675.39
2010-06-15,1680.71
2010-06-16,1684.06
2010-06-17,1696.30
2010-06-18,1697.86
2010-06-21,1711.38
2010-06-22,1715.06
2010-06-23,1699.33
2010-06-24,1697.96
2010-06-25,1691.63
2010-06-28,1692.31
2010-06-29,1693.84
2010-06-30,1671.94
2010-07-01,1671.62
2010-07-02,1672.86
2010-07-05,1706.96
2010-07-06,1712.33
2010-07-07,1721.51
2010-07-08,1721.95
2010-07-09,1732.75
2010-07-14,1738.02
2010-07-15,1741.00
2010-07-16,1741.24
2010-07-19,1769.08
2010-07-20,1773.50
2010-07-21,1774.11
2010-07-22,1761.26
2010-07-23,1750.80
2010-07-26,1758.99
2010-07-27,1760.29
2010-07-28,1765.74
2010-07-29,1764.14
2010-07-30,1766.97
2010-08-02,1766.85
2010-08-03,1769.78
2010-08-04,1784.35
2010-08-05,1779.19
2010-08-06,1772.71
2010-08-09,1772.82
2010-08-10,1782.08
2010-08-11,1762.20
2010-08-12,1742.20
2010-08-13,1715.14
2010-08-16,1703.84
2010-08-17,1696.54
2010-08-18,1696.21
2010-08-19,1690.40
2010-08-20,1679.31
2010-08-23,1678.31
2010-08-24,1659.56
2010-08-25,1647.87
2010-08-26,1652.63
2010-08-27,1652.75
2010-08-30,1655.35
2010-08-31,1657.45
2010-09-01,1651.51
2010-09-02,1665.02
2010-09-03,1687.55
2010-09-06,1703.42
2010-09-07,1706.86
2010-09-08,1690.00
2010-09-09,1673.90
2010-09-10,1673.71
2010-09-13,1685.88
2010-09-14,1698.85
2010-09-15,1715.05
2010-09-16,1732.88
2010-09-17,1741.57
2010-09-20,1756.74
2010-09-21,1747.45
2010-09-22,1737.75
2010-09-23,1761.60
2010-09-24,1772.31
2010-09-27,1767.94
2010-09-28,1787.81
2010-09-29,1780.33
2010-09-30,1804.39
2010-10-01,1802.62
2010-10-04,1805.80
2010-10-05,1809.78
2010-10-06,1811.73
2010-10-07,1818.45
2010-10-08,1838.76
2010-10-11,1831.20
2010-10-12,1831.75
2010-10-13,1814.91
2010-10-14,1835.23
2010-10-15,1850.19
2010-10-18,1843.41
2010-10-19,1809.43
2010-10-20,1811.70
2010-10-21,1791.39
2010-10-22,1809.36
2010-10-25,1800.42
2010-10-26,1811.55
2010-10-27,1798.39
2010-10-28,1775.91
2010-10-29,1775.88
2010-11-01,1778.83
2010-11-02,1793.30
2010-11-03,1788.14
2010-11-04,1804.99
2010-11-05,1819.11
2010-11-08,1823.89
2010-11-09,1792.28
2010-11-10,1774.63
2010-11-11,1764.99
2010-11-12,1764.39
2010-11-15,1738.70
2010-11-16,1743.44
2010-11-17,1737.20
2010-11-18,1720.39
2010-11-19,1729.44
2010-11-22,1735.22
2010-11-23,1734.42
2010-11-24,1708.50
2010-11-25,1682.83
2010-11-29,1667.16
2010-11-30,1658.16
2010-12-01,1631.40
2010-12-02,1617.87
2010-12-03,1627.19
2010-12-06,1628.63
2010-12-07,1633.54
2010-12-08,1610.95
2010-12-09,1618.02
2010-12-10,1605.68
2010-12-13,1599.01
2010-12-14,1630.41
2010-12-15,1612.55
2010-12-16,1608.72
2010-12-17,1638.57
2010-12-20,1633.09
2010-12-21,1635.19
2010-12-22,1634.13
2010-12-23,1633.85
2010-12-24,1634.71
2010-12-27,1641.68
2010-12-28,1652.32
2010-12-29,1649.27
2010-12-30,1662.31
2010-12-31,1679.97
2011-01-03,1679.97
2011-01-04,1672.69
2011-01-05,1690.37
2011-01-06,1690.86
2011-01-07,1682.22
2011-01-10,1661.86
2011-01-11,1647.01
2011-01-12,1648.29
2011-01-13,1629.55
2011-01-14,1643.01
2011-01-17,1666.88
2011-01-18,1654.31
2011-01-19,1659.70
2011-01-20,1677.06
2011-01-21,1670.79
2011-01-24,1693.27
2011-01-25,1711.99
2011-01-26,1711.93
2011-01-27,1705.24
2011-01-28,1705.73
2011-01-31,1696.81
2011-02-01,1713.20
2011-02-02,1728.19
2011-02-07,1703.78
2011-02-08,1706.88
2011-02-09,1713.03
2011-02-10,1722.51
2011-02-11,1706.75
2011-02-14,1702.84
2011-02-15,1691.71
2011-02-16,1698.00
2011-02-17,1697.02
2011-02-18,1698.66
2011-02-21,1711.91
2011-02-22,1696.54
2011-02-23,1719.39
2011-02-24,1718.60
2011-02-25,1734.80
2011-02-28,1726.58
2011-03-01,1733.36
2011-03-02,1724.88
2011-03-03,1735.50
2011-03-04,1746.73
2011-03-07,1745.46
2011-03-08,1745.46
2011-03-09,1731.42
2011-03-10,1718.04
2011-03-11,1711.51
2011-03-14,1725.52
2011-03-15,1718.11
2011-03-16,1718.45
2011-03-17,1711.16
2011-03-18,1715.21
2011-03-21,1725.93
2011-03-22,1730.24
2011-03-23,1720.00
2011-03-24,1705.39
2011-03-25,1715.63
2011-03-28,1695.41
2011-03-29,1695.78
2011-03-30,1686.89
2011-03-31,1695.61
2011-04-01,1691.80
2011-04-04,1701.95
2011-04-05,1700.27
2011-04-06,1720.35
2011-04-07,1726.66
2011-04-08,1741.11
2011-04-09,1741.11
2011-04-10,1741.11
2011-04-11,1742.62
2011-04-12,1737.33
2011-04-13,1747.28
2011-04-14,1748.42
2011-04-15,1748.97
2011-04-16,1748.97
2011-04-17,1748.97
2011-04-18,1737.99
2011-04-19,1738.17
2011-04-20,1769.10
2011-04-21,1799.00
2011-04-22,1802.75
2011-04-23,1802.75
2011-04-24,1802.75
2011-04-25,1812.36
2011-04-26,1820.83
2011-04-27,1835.14
2011-04-28,1861.20
2011-04-29,1867.44
2011-04-30,1867.44
2011-05-01,1867.44
2011-05-02,1872.64
2011-05-03,1872.55
2011-05-04,1883.50
2011-05-05,1885.19
2011-05-06,1825.40
2011-05-07,1825.40
2011-05-08,1825.40
2011-05-09,1808.11
2011-05-10,1780.26
2011-05-11,1761.44
2011-05-12,1732.99
2011-05-13,1744.75
2011-05-14,1744.75
2011-05-15,1744.75
2011-05-16,1723.26
2011-05-17,1720.91
2011-05-18,1731.10
2011-05-19,1738.09
2011-05-20,1750.08
2011-05-21,1750.08
2011-05-22,1750.08
2011-05-23,1711.00
2011-05-24,1713.09
2011-05-25,1725.64
2011-05-26,1745.31
2011-05-27,1764.37
2011-05-28,1764.37
2011-05-29,1764.37
2011-05-30,1762.25
2011-05-31,1794.36
2011-06-01,1794.36
2011-06-02,1802.37
2011-06-03,1809.84
2011-06-04,1809.84
2011-06-05,1809.84
2011-06-06,1832.77
2011-06-07,1837.50
2011-06-08,1835.63
2011-06-09,1826.29
2011-06-10,1805.70
