Date,Year,Month,Current account,Capital Account,Financial Account,Reserve Assets
2009-1,2009,01,28.71826479,11.95064477,27.33853667,4.038443294
2009-2,2009,02,-14.62371498,13.34962277,-14.36821339,-25.78312198
2009-3,2009,03,-105.7078245,12.98678477,15.69208903,-3.863316959
2009-4,2009,04,-14.67708132,15.11989477,32.20913773,15.53923985
2009-5,2009,05,-29.63397771,14.83568077,-52.77045783,35.27694781
2009-6,2009,06,-16.62978597,14.55618477,-58.02779875,82.01706323
2009-7,2009,07,-33.63761962,14.66014433,-86.39527893,9.646607335
2009-8,2009,08,-8.574791114,14.18133033,-162.1526706,140.463997
2009-9,2009,09,-23.23003018,13.82348333,-33.9585394,70.44264611
2009-10,2009,10,-53.92237445,11.63757857,-198.5159237,184.2039335
2009-11,2009,11,-44.2300568,11.64040657,-88.2171532,-1.561021412
2009-12,2009,12,-25.63423236,11.75571757,10.83324274,45.10676651
2010-1,2010,01,-9.406852758,8.353152195,3.094494352,-21.31701594
2010-2,2010,02,-34.02294126,8.348533645,-26.96750238,-25.62648014
2010-3,2010,03,-100.9606551,8.641157112,-107.5519478,10.59508189
2010-4,2010,04,-68.53164831,12.00097041,-134.434562,102.5231147
2010-5,2010,05,9.62097642,8.718952895,-44.06935211,-13.7780248
2010-6,2010,06,-2.927695899,11.47253865,12.40277762,73.68154669
2010-7,2010,07,-76.89211402,20.55440565,-48.67907933,40.17228636
2010-8,2010,08,-44.58626363,26.78200048,-143.5676108,93.30154517
2010-9,2010,09,-71.49173187,10.49769691,-89.57141237,32.86425199
2010-10,2010,10,-65.09703943,10.12172738,-292.4705165,185.1198936
2010-11,2010,11,-119.1865693,9.533622778,-101.5436872,48.6827885
2010-12,2010,12,-301.9896015,17.19269071,-695.3869475,346.9000537
2011-1,2011,01,-279.4255574,11.93996505,-456.6343036,33.85662077
2011-2,2011,02,-169.8364079,9.080626918,-167.4516254,-19.78099877
2011-3,2011,03,-291.8550973,14.03960751,-329.475003,17.74746133
2011-4,2011,04,-258.2179355,12.92219213,-169.2926879,-44.39977373
2011-5,2011,05,-356.4273928,8.622571227,-617.0159888,102.1837852
2011-6,2011,06,-377.4724078,7.890992528,-478.835197,127.1598429
2011-7,2011,07,-551.925403,8.576725055,-384.2501995,63.85658167
2011-8,2011,08,-444.9753718,14.00923909,-349.4186978,-65.5351686
2011-9,2011,09,-406.6635024,13.804623,-170.4918131,-9.456745339
2011-10,2011,10,-401.4980372,10.18612088,-494.7771108,9.205905693
2011-11,2011,11,-458.2438875,9.783873902,-359.084454,-123.2245339
2011-12,2011,12,-515.6397338,9.193239448,-605.6473308,-73.82783107
2012-1,2012,01,-483.1210823,16.51952909,-228.2756648,-96.1905742
2012-2,2012,02,-395.3921388,20.45466685,-362.0859926,96.75058507
2012-3,2012,03,-452.2966796,15.7717156,-946.8771636,481.0162116
2012-4,2012,04,-424.9065936,9.847233666,-346.6338252,41.61246537
2012-5,2012,05,-570.0128271,8.666259538,-281.4778673,-101.5806489
2012-6,2012,06,-278.142747,12.14138156,-513.2822058,46.6074314
2012-7,2012,07,-627.8956676,11.03387603,-542.7818523,-98.86652759
2012-8,2012,08,-625.3518378,9.326161728,-464.2469481,-118.0268941
2012-9,2012,09,-440.1376663,10.16272738,-731.1798761,139.7035743
2012-10,2012,10,-284.8791174,9.027343074,-154.4544026,-212.7694978
2012-11,2012,11,-337.0425512,7.581343212,-404.8165137,-0.559133173
2012-12,2012,12,-461.5185731,11.72960153,-1713.186081,1461.401491
2013-1,2013,01,-475.2014486,10.11708357,-356.0702483,-71.77103737
2013-2,2013,02,-294.4809472,9.613706451,-226.1475861,-127.8384098
2013-3,2013,03,-363.1953676,9.124067957,-37.76202675,-198.1523722
2013-4,2013,04,-387.2129394,10.54139987,-287.4895327,-256.0360446
2013-5,2013,05,-519.8728812,12.52985212,-311.8524483,-85.31985735
2013-6,2013,06,-412.0617142,9.440624315,-183.4318725,-244.0735373
2013-7,2013,07,-399.0949919,11.67698024,-294.0396077,-99.73820994
2013-8,2013,08,-440.7939271,14.47107653,-86.8373729,-336.9886231
2013-9,2013,09,-389.4800572,10.37961825,-266.2524954,0.899708774
2013-10,2013,10,-377.2646568,13.60021472,-118.0678041,-244.4876909
2013-11,2013,11,-314.3058216,13.23533622,-331.5942162,-110.7981463
2013-12,2013,12,-358.8778451,15.98736457,-308.3810066,-93.00751929
2014-1,2014,01,-284.4120099,14.94106679,-526.2282554,238.848179
2014-2,2014,02,-170.3746139,9.44672196,49.02798612,-233.2750476
2014-3,2014,03,-216.7009231,9.932623044,-43.34718485,-313.4025527
2014-4,2014,04,-276.9739906,11.77028878,-41.64251383,-111.5725669
2014-5,2014,05,-279.0782645,13.45211964,98.10626508,-226.5828542
2014-6,2014,06,-163.3073283,7.534013412,108.752968,-269.1632127
2014-7,2014,07,-239.2727515,15.67110191,-278.6769273,-20.05484352
2014-8,2014,08,4.635369842,11.28817894,-126.5468689,14.89535003
2014-9,2014,09,-227.5641483,20.64558162,-418.2559429,177.2009758
2014-10,2014,10,-42.15908792,8.189857695,211.9449651,-74.4563396
2014-11,2014,11,3.91951351,6.116459187,-203.1192189,-2.936410182
2014-12,2014,12,-43.05375552,6.592237721,-333.8152258,349.4214954
2015-1,2015,01,-34.98889527,9.663879914,270.3124744,-285.478812
2015-2,2015,02,-1.395720414,6.79198254,-105.3188182,44.15255673
2015-3,2015,03,-23.77883521,5.195027388,-135.9603751,-29.76993431
2015-4,2015,04,-135.1388392,8.680901751,-26.53166379,-49.38342507
2015-5,2015,05,-226.6342051,9.588926013,-353.1787398,338.7244289
2015-6,2015,06,-96.56654807,11.23668103,-131.9205074,64.97199278
2015-7,2015,07,-118.8895844,13.64702307,-185.0710502,-0.91993966
2015-8,2015,08,26.64568087,8.575355404,-91.48266327,43.06940006
2015-9,2015,09,-81.24882028,12.78395414,220.5383082,-297.8023592
2015-10,2015,10,-59.99479891,10.12613508,-111.7725096,3.253677376
2015-11,2015,11,-155.401935,7.291046972,-148.046978,35.66157342
2015-12,2015,12,-41.06290202,12.08718514,10.41350264,-134.5595276
2016-1,2016,01,-105.221168,4.373369109,-248.7660313,21.66195265
2016-2,2016,02,11.99912242,4.077551949,98.1864451,-146.700115
2016-3,2016,03,-72.01758867,5.95760643,-133.131888,87.28152533
2016-4,2016,04,-39.15384857,7.714202782,-307.4785013,240.0696811
2016-5,2016,05,-215.9671735,6.41389072,21.26938226,-97.46641593
2016-6,2016,06,-92.584933,8.407715115,-20.21052626,-150.8147407
2016-7,2016,07,-112.2962552,16.71408349,-55.21855258,4.674786105
2016-8,2016,08,-25.01423702,7.282831684,2.16644778,-147.9432327
2016-9,2016,09,-66.0411391,9.262113142,-15.47860572,-42.89005967
2016-10,2016,10,-121.0587426,5.467463364,-18.56055586,-45.63440538
2016-11,2016,11,70.64318795,8.69638784,-185.6378673,289.7149686
2016-12,2016,12,67.0417641,6.394920122,50.93106447,-30.14399513
2017-1,2017,01,-75.19001743,7.574472764,46.8120583,-175.9126786
2017-2,2017,02,-1.329498706,3.900690945,-26.70335325,-74.46505925
2017-3,2017,03,-71.62214475,6.919774127,-140.5322712,86.69463461
2017-4,2017,04,9.082578318,3.297416031,-23.73860754,67.92876702
2017-5,2017,05,37.13009823,5.450733121,-74.84605091,-5.613418861
2017-6,2017,06,-166.6002617,4.96233154,-266.7542585,27.35912872
2017-7,2017,07,-155.558781,4.185771021,-58.42157338,25.22824547
2017-8,2017,08,-20.00259673,5.647426765,-350.8061424,264.2029291
2017-9,2017,09,-121.4915077,14.72022739,-21.76501282,-13.50725639
2017-10,2017,10,-59.52355433,9.950780225,-189.8363804,81.27807433
2017-11,2017,11,-210.5975715,5.318985377,-722.9186598,559.9538697
2017-12,2017,12,-319.7404743,5.724377224,-763.8340055,616.7730865
2018-1,2018,01,-121.6591331,5.157770872,135.5676875,-233.1677005
2018-2,2018,02,-213.030649,3.826970198,-193.5067201,167.7983274
2018-3,2018,03,-25.21279314,2.76884575,-181.1301041,23.15818478
2018-4,2018,04,-23.97601621,8.505781202,-49.57031608,-4.742452606
2018-5,2018,05,-76.74833337,6.652995107,-324.0707421,248.6872818
2018-6,2018,06,-218.225162,11.34938311,33.84554186,-373.7145055
2018-7,2018,07,-146.4770596,4.060456484,-200.9183686,-63.30171119
2018-8,2018,08,-223.5699691,7.656436206,-115.5804281,-162.4968858
2018-9,2018,09,-119.031516,8.502000532,-4.312890174,-77.50650493
